編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQPMLPJNHLFFEA18CC,7,109.64,住家用,鋼骨鋼筋混凝土造,97年11月12日,十八層,
RPQPMLPJNHLFFEA18CC,7,5.02,共用部分,鋼骨鋼筋混凝土造,97年11月12日,十八層,
RPQPMLPJNHLFFEA18CC,7,17.73,共用部分,鋼骨鋼筋混凝土造,97年11月12日,十八層,
RPQPMLPJNHLFFEA18CC,7,29.86,共用部分,鋼骨鋼筋混凝土造,97年11月12日,十八層,
RPQPMLPJNHLFFEA18CC,7,2.62,共用部分,鋼骨鋼筋混凝土造,97年11月12日,十八層,
RPSPMLPJNHLFFEA38CC,42,66.88,住家用,加強磚造,63年4月23日,二層,
RPSNMLPJNHLFFBA87CC,37,72.49,商業用,鋼筋混凝土造,68年7月2日,十五層,
RPWNMLPJNHLFFBA28CC,8,82.89,住家用,鋼筋混凝土造,96年11月2日,十一層,
RPWNMLPJNHLFFBA28CC,8,39.70,共有部分,鋼筋混凝土造,96年11月2日,十一層,
RPQNMLPJNHLFFDA87CC,14,60.62,住家用,鋼骨鋼筋混凝土造,91年6月19日,十四層,
RPQNMLPJNHLFFDA87CC,14,15.55,共有部分,鋼骨鋼筋混凝土造,91年6月19日,十四層,
RPQNMLPJNHLFFDA87CC,14,5.88,共有部分,鋼骨鋼筋混凝土造,91年6月19日,十四層,
RPVNMLPJNHLFFDA38CC,28,27.12,商業用,鋼筋混凝土造,77年7月5日,七層,
RPVNMLPJNHLFFDA38CC,28,17.68,見使用執照,鋼筋混凝土造,77年7月5日,七層,
RPOOMLPJNHLFFDA77CC,7,92.31,住家用,鋼筋混凝土造,98年4月20日,十層,
RPOOMLPJNHLFFDA77CC,7,44.69,共有部分,鋼筋混凝土造,98年4月20日,十層,
RPPOMLPJNHLFFDA87CC,3,144.67,住家用,鋼筋混凝土造,102年5月21日,十一層,
RPPOMLPJNHLFFDA87CC,3,44.70,見其他登記事項,鋼筋混凝土造,102年5月21日,十一層,
RPPOMLPJNHLFFDA87CC,3,28.93,見其他登記事項,鋼筋混凝土造,102年5月21日,十一層,
RPTOMLPJNHLFFDA28CC,5,167.25,住家用,見其他登記事項,99年11月12日,十八層,
RPTOMLPJNHLFFDA28CC,5,70.51,見其他登記事項,見其他登記事項,99年11月12日,十八層,
RPTOMLPJNHLFFDA28CC,5,12.30,見其他登記事項,見其他登記事項,99年11月12日,十八層,
RPTOMLPJNHLFFDA28CC,5,35.60,見其他登記事項,見其他登記事項,99年11月12日,十八層,
RPUOMLPJNHLFFDA38CC,23,177.18,商業用,鋼骨混凝土造,82年8月13日,二十七層,
RPUOMLPJNHLFFDA38CC,23,18.22,共有部分,鋼骨混凝土造,82年8月13日,二十七層,
